spot,strike,maturity,rate,dividend_yield,option_type,market_price,implied_vol
100.00,80.00,0.25,0.0300,0.0100,call,20.373517,0.192500
100.00,90.00,0.25,0.0300,0.0100,call,10.896423,0.182500
100.00,100.00,0.25,0.0300,0.0100,call,3.677165,0.172500
100.00,110.00,0.25,0.0300,0.0100,call,0.808535,0.182500
100.00,120.00,0.25,0.0300,0.0100,call,0.134423,0.192500
100.00,80.00,0.50,0.0300,0.0100,call,20.936504,0.197678
100.00,90.00,0.50,0.0300,0.0100,call,12.163293,0.187678
100.00,100.00,0.50,0.0300,0.0100,call,5.469829,0.177678
100.00,110.00,0.50,0.0300,0.0100,call,2.163971,0.187678
100.00,120.00,0.50,0.0300,0.0100,call,0.793503,0.197678
100.00,80.00,1.00,0.0300,0.0100,call,22.403159,0.205000
100.00,90.00,1.00,0.0300,0.0100,call,14.508276,0.195000
100.00,100.00,1.00,0.0300,0.0100,call,8.246617,0.185000
100.00,110.00,1.00,0.0300,0.0100,call,4.704919,0.195000
100.00,120.00,1.00,0.0300,0.0100,call,2.676115,0.205000
100.00,80.00,2.00,0.0300,0.0100,call,25.465524,0.215355
100.00,90.00,2.00,0.0300,0.0100,call,18.464609,0.205355
100.00,100.00,2.00,0.0300,0.0100,call,12.589561,0.195355
100.00,110.00,2.00,0.0300,0.0100,call,9.060298,0.205355
100.00,120.00,2.00,0.0300,0.0100,call,6.631162,0.215355
